Index,MiseStress,U.Mag,U.U1,U.U2,U.U3,x,y,z
0,3.14255201417e-14,182.564623754,-1.08779510115,-158.813191327,-1.08779510115,0.0,-14.0625,54.31
1,2.28281657882e-14,45.8312934134,-0.131305962446,-45.7629977891,-0.131305962446,0.0,-28.125,108.62
2,5.90753598768e-14,115.124489119,-0.637684932228,-114.16757704,-0.637684932228,0.0,-42.1875,162.93
3,5.16345139844e-14,96.5527830003,-0.843992765761,-94.5999808272,-0.843992765761,0.0,-56.25,217.24
4,3.98926595816e-14,134.696244381,-2.41940603992,-119.826566771,-2.41940603992,0.0,-70.3125,271.55
5,3.37404551552e-14,34.0511091766,-0.956535711181,-25.7087381206,-0.956535711181,0.0,-84.375,325.86
6,6.01812598862e-14,42.9385964763,-1.65045360042,-18.1084152962,-1.65045360042,0.0,-98.4375,380.17
7,5.44528368729e-14,50.8472802116,-2.18039113591,2.10634365182,-2.18039113591,0.0,-112.5,434.48
8,0.00377177921902,314.882948446,-4.39043976412,78.4440545276,-4.39043976412,0.0,-79.55,514.0
9,0.101919910541,-54.5794788511,0.878075640402,-30.3566277058,0.878075640402,0.0,0.0,547.0
10,0.255785910541,68.5932303575,-0.617897480521,9.42965570908,-0.617897480521,0.0,79.55,514.0
11,0.0,135.576898694,4.68248548943,59.3322856533,4.68248548943,0.0,112.5,434.48
12,0.0,14.0282772347,0.586909670919,-1.26150620547,0.586909670919,0.0,98.4375,380.17
13,0.0,45.0003302759,1.59417220301,-23.4471924136,1.59417220301,0.0,84.375,325.86
14,0.0,54.3528393504,1.38786976929,-43.0149294114,1.38786976929,0.0,70.3125,271.55
15,0.0,163.030778514,2.05365585612,-154.516842508,2.05365585612,0.0,56.25,217.24
16,0.0,67.8358419368,0.525142576851,-66.6252232322,0.525142576851,0.0,42.1875,162.93
17,0.0,120.320674598,0.581399113085,-119.506384523,0.581399113085,0.0,28.125,108.62
18,0.0,194.007954933,0.412600126741,-193.733275763,0.412600126741,0.0,14.0625,54.31
19,2.42644505103e-14,54.6669519531,-0.0375090538295,-54.6589515862,-0.0375090538295,25.5,-14.0625,54.31
20,1.92643806743e-14,0.0,0.0,0.0,0.0,25.5,-28.125,108.62
21,2.9891661187e-14,0.0,0.0,0.0,0.0,25.5,-42.1875,162.93
22,5.01748747061e-14,0.0,0.0,0.0,0.0,25.5,-56.25,217.24
23,4.96858052021e-14,0.0,0.0,0.0,0.0,25.5,-70.3125,271.55
24,2.09156658224e-14,0.0,0.0,0.0,0.0,25.5,-84.375,325.86
25,3.63375516318e-14,0.0,0.0,0.0,0.0,25.5,-98.4375,380.17
26,4.27302539137e-14,0.0,0.0,0.0,0.0,25.5,-112.5,434.48
27,1.71995663057e-14,29.8452921746,-1.15234238141,9.41210468972,-1.15234238141,25.5,-79.55,514.0
28,0.125174575636,-24.7000749754,0.049852366314,-0.0378029563294,0.049852366314,25.5,0.0,547.0
29,0.314147575636,61.9891749754,-0.125113266314,0.0948731563294,-0.125113266314,25.5,79.55,514.0
30,0.0,0.0,0.0,0.0,0.0,25.5,112.5,434.48
31,0.0,0.0,0.0,0.0,0.0,25.5,98.4375,380.17
32,0.0,0.0,0.0,0.0,0.0,25.5,84.375,325.86
33,0.0,0.0,0.0,0.0,0.0,25.5,70.3125,271.55
34,0.0,0.0,0.0,0.0,0.0,25.5,56.25,217.24
35,0.0,0.0,0.0,0.0,0.0,25.5,42.1875,162.93
36,0.0,0.0,0.0,0.0,0.0,25.5,28.125,108.62
37,0.0,0.0,0.0,0.0,0.0,25.5,14.0625,54.31
38,2.22455166519e-14,58.3697884646,-2.4219377581e-13,-58.3697884646,-2.4219377581e-13,51.0,-14.0625,54.31
39,1.94777827208e-14,0.0,0.0,0.0,0.0,51.0,-28.125,108.62
40,3.35319649792e-14,0.0,0.0,0.0,0.0,51.0,-42.1875,162.93
41,3.51108436458e-14,0.0,0.0,0.0,0.0,51.0,-56.25,217.24
42,3.97633983943e-14,0.0,0.0,0.0,0.0,51.0,-70.3125,271.55
43,2.92628616596e-14,0.0,0.0,0.0,0.0,51.0,-84.375,325.86
44,3.25943057311e-14,0.0,0.0,0.0,0.0,51.0,-98.4375,380.17
45,4.53807117896e-14,0.0,0.0,0.0,0.0,51.0,-112.5,434.48
46,1.33571354243e-14,29.7639708861,-1.15234238141,9.15092073796,-1.15234238141,51.0,-79.55,514.0
47,0.0,-33.1567263078,-1.65622338607e-13,-33.1567263078,-1.65622338607e-13,51.0,0.0,547.0
48,0.0,83.2126263078,4.15658338607e-13,83.2126263078,4.15658338607e-13,51.0,79.55,514.0
49,0.0,0.0,0.0,0.0,0.0,51.0,112.5,434.48
50,0.0,0.0,0.0,0.0,0.0,51.0,98.4375,380.17
51,0.0,0.0,0.0,0.0,0.0,51.0,84.375,325.86
52,0.0,0.0,0.0,0.0,0.0,51.0,70.3125,271.55
53,0.0,0.0,0.0,0.0,0.0,51.0,56.25,217.24
54,0.0,0.0,0.0,0.0,0.0,51.0,42.1875,162.93
55,0.0,0.0,0.0,0.0,0.0,51.0,28.125,108.62
56,0.0,0.0,0.0,0.0,0.0,51.0,14.0625,54.31
57,2.39512648102e-14,58.5226843666,-2.43992080518e-13,-58.5226843666,-2.43992080518e-13,76.5,-14.0625,54.31
58,2.13227503436e-14,0.0,0.0,0.0,0.0,76.5,-28.125,108.62
59,4.85461953962e-14,0.0,0.0,0.0,0.0,76.5,-42.1875,162.93
60,4.81859750225e-14,0.0,0.0,0.0,0.0,76.5,-56.25,217.24
61,4.26167904894e-14,0.0,0.0,0.0,0.0,76.5,-70.3125,271.55
62,3.49484711254e-14,0.0,0.0,0.0,0.0,76.5,-84.375,325.86
63,3.10350756111e-14,0.0,0.0,0.0,0.0,76.5,-98.4375,380.17
64,3.35091416084e-14,0.0,0.0,0.0,0.0,76.5,-112.5,434.48
65,1.79038830063e-14,29.6846978017,-1.15234238141,8.88966092679,-1.15234238141,76.5,-79.55,514.0
66,0.0,-32.928664064,-1.66119134084e-13,-32.928664064,-1.66119134084e-13,76.5,0.0,547.0
67,0.0,82.640264064,4.16905134084e-13,82.640264064,4.16905134084e-13,76.5,79.55,514.0
68,0.0,0.0,0.0,0.0,0.0,76.5,112.5,434.48
69,0.0,0.0,0.0,0.0,0.0,76.5,98.4375,380.17
70,0.0,0.0,0.0,0.0,0.0,76.5,84.375,325.86
71,0.0,0.0,0.0,0.0,0.0,76.5,70.3125,271.55
72,0.0,0.0,0.0,0.0,0.0,76.5,56.25,217.24
73,0.0,0.0,0.0,0.0,0.0,76.5,42.1875,162.93
74,0.0,0.0,0.0,0.0,0.0,76.5,28.125,108.62
75,0.0,0.0,0.0,0.0,0.0,76.5,14.0625,54.31
76,2.45469058949e-14,58.6760247335,-2.4115150578e-13,-58.6760247335,-2.4115150578e-13,102.0,-14.0625,54.31
77,2.81131118358e-14,0.0,0.0,0.0,0.0,102.0,-28.125,108.62
78,5.76803206017e-14,0.0,0.0,0.0,0.0,102.0,-42.1875,162.93
79,5.62017927343e-14,0.0,0.0,0.0,0.0,102.0,-56.25,217.24
80,4.50982967565e-14,0.0,0.0,0.0,0.0,102.0,-70.3125,271.55
81,2.78987559384e-14,0.0,0.0,0.0,0.0,102.0,-84.375,325.86
82,4.00199981888e-14,0.0,0.0,0.0,0.0,102.0,-98.4375,380.17
83,3.00148654875e-14,0.0,0.0,0.0,0.0,102.0,-112.5,434.48
84,1.80624291751e-14,29.6074729214,-1.15234238141,8.62847697503,-1.15234238141,102.0,-79.55,514.0
85,0.0,-32.7006018202,-1.66541741437e-13,-32.7006018202,-1.66541741437e-13,102.0,0.0,547.0
86,0.0,82.0679018202,4.17965741437e-13,82.0679018202,4.17965741437e-13,102.0,79.55,514.0
87,0.0,0.0,0.0,0.0,0.0,102.0,112.5,434.48
88,0.0,0.0,0.0,0.0,0.0,102.0,98.4375,380.17
89,0.0,0.0,0.0,0.0,0.0,102.0,84.375,325.86
90,0.0,0.0,0.0,0.0,0.0,102.0,70.3125,271.55
91,0.0,0.0,0.0,0.0,0.0,102.0,56.25,217.24
92,0.0,0.0,0.0,0.0,0.0,102.0,42.1875,162.93
93,0.0,0.0,0.0,0.0,0.0,102.0,28.125,108.62
94,0.0,0.0,0.0,0.0,0.0,102.0,14.0625,54.31
95,9.5620970465e-15,58.8289206355,-2.42329782048e-13,-58.8289206355,-2.42329782048e-13,127.5,-14.0625,54.31
96,3.08872856012e-14,0.0,0.0,0.0,0.0,127.5,-28.125,108.62
97,4.50786928159e-14,0.0,0.0,0.0,0.0,127.5,-42.1875,162.93
98,4.07390802589e-14,0.0,0.0,0.0,0.0,127.5,-56.25,217.24
99,5.05293608759e-14,0.0,0.0,0.0,0.0,127.5,-70.3125,271.55
100,2.85217705316e-14,0.0,0.0,0.0,0.0,127.5,-84.375,325.86
101,5.48724691087e-14,0.0,0.0,0.0,0.0,127.5,-98.4375,380.17
102,4.71154439439e-14,0.0,0.0,0.0,0.0,127.5,-112.5,434.48
